Player Name, Correct Answers, Incorrect Answers, Response Time (s)
will, 3, 8, 0
will, 3, 8, 0
will, 3, 8, 0
will, 3, 8, 0
will, 3, 8, 0
will, 3, 8, 0
will, 3, 8, 0
will, 3, 8, 0
will, 3, 8, 0
will, 3, 8, 0
will, 3, 8, 0
Player 1, 2, 4, 0
Player 1, 2, 4, 0
Player 1, 2, 4, 0
Player 1, 2, 4, 0
Player 1, 2, 4, 0
Player 1, 2, 4, 0
Player 1, 0, 4, 0
Player 1, 0, 4, 0
Player 1, 0, 4, 0
Player 1, 0, 4, 0
Player 1, 1, 11, 0
Player 1, 1, 11, 0
Player 1, 1, 11, 0
Player 1, 1, 11, 0
Player 1, 1, 11, 0
Player 1, 1, 11, 0
Player 1, 1, 11, 0
Player 1, 1, 11, 0
Player 1, 1, 11, 0
Player 1, 1, 11, 0
Player 1, 1, 11, 0
Player 1, 1, 11, 0
Player 1, 1, 4, 0
Player 1, 1, 4, 1
Player 1, 1, 4, 1
Player 1, 1, 4, 2
Player 1, 1, 4, 2
Player 1, 2, 6, 0
Player 1, 2, 6, 0
Player 1, 2, 6, 0
Player 1, 2, 6, 0
Player 1, 2, 6, 0
Player 1, 2, 6, 0
Player 1, 2, 6, 0
Player 1, 2, 6, 0
Player 1, 3, 6, 0
Player 1, 3, 6, 0
Player 1, 3, 6, 0
Player 1, 3, 6, 0
Player 1, 3, 6, 0
Player 1, 3, 6, 0
Player 1, 3, 6, 0
Player 1, 3, 6, 0
Player 1, 3, 6, 0
Player 1, 2, 8, 0
Player 1, 2, 8, 0
Player 1, 2, 8, 0
Player 1, 2, 8, 0
Player 1, 2, 8, 0
Player 1, 2, 8, 0
Player 1, 2, 8, 0
Player 1, 2, 8, 1
Player 1, 2, 8, 1
Player 1, 2, 8, 2
Player 1, 0, 1, 1
Player 1, 1, 5, 0
Player 1, 1, 5, 0
Player 1, 1, 5, 0
Player 1, 1, 5, 0
Player 1, 1, 5, 0
Player 1, 1, 5, 0
Player 1, 2, 4, 0
Player 1, 2, 4, 0
Player 1, 2, 4, 0
Player 1, 2, 4, 0
Player 1, 2, 4, 0
Player 1, 2, 4, 0
Player 1, 0, 4, 0
Player 1, 0, 4, 0
Player 1, 0, 4, 0
Player 1, 0, 4, 0
Player 1, 2, 14, 0
Player 1, 2, 14, 0
Player 1, 2, 14, 0
Player 1, 2, 14, 0
Player 1, 2, 14, 0
Player 1, 2, 14, 0
Player 1, 2, 14, 0
Player 1, 2, 14, 0
Player 1, 2, 14, 0
Player 1, 2, 14, 0
Player 1, 2, 14, 0
Player 1, 2, 14, 0
Player 1, 2, 14, 0
Player 1, 2, 14, 0
Player 1, 2, 14, 0
Player 1, 2, 14, 0
Player 1, 1, 2, 0
Player 1, 1, 2, 0
Player 1, 1, 2, 0
Will, 0, 2, 0
Will, 0, 2, 1
WIll, 1, 3, 0
WIll, 1, 3, 0
WIll, 1, 3, 1
WIll, 1, 3, 2
will, 2, 7, 0
will, 2, 7, 0
will, 2, 7, 0
will, 2, 7, 0
will, 2, 7, 0
will, 2, 7, 0
will, 2, 7, 0
will, 2, 7, 0
will, 2, 7, 0
will, 1, 3, 0
will, 1, 3, 0
will, 1, 3, 0
will, 1, 3, 1
Niall, 2, 2, 0
Niall, 2, 2, 0
Niall, 2, 2, 1
Niall, 2, 2, 2
will, 1, 20, 0
will, 1, 20, 0
will, 1, 20, 0
will, 1, 20, 0
will, 1, 20, 0
will, 1, 20, 0
will, 1, 20, 0
will, 1, 20, 0
will, 1, 20, 0
will, 1, 20, 0
will, 1, 20, 0
will, 1, 20, 0
will, 1, 20, 0
will, 1, 20, 0
will, 1, 20, 0
will, 1, 20, 0
will, 1, 20, 0
will, 1, 20, 0
will, 1, 20, 0
will, 1, 20, 0
will, 1, 20, 2
will, 1, 0, 1
, 4, 6, 0
, 4, 6, 0
, 4, 6, 0
, 4, 6, 0
, 4, 6, 0
, 4, 6, 0
, 4, 6, 0
, 4, 6, 0
, 4, 6, 0
, 4, 6, 1
, 1, 1, 1
, 1, 1, 1
, 1, 3, 0
, 1, 3, 0
, 1, 3, 0
, 1, 3, 0
, 2, 1, 0
, 2, 1, 0
, 2, 1, 0
, 1, 3, 0
, 1, 3, 0
, 1, 3, 0
, 1, 3, 0
, 2, 1, 1
, 2, 1, 6
, 2, 1, 6
, 2, 2, 0
, 2, 2, 0
, 2, 2, 0
, 2, 2, 1
, 1, 6, 0
, 1, 6, 0
, 1, 6, 0
, 1, 6, 0
, 1, 6, 0
, 1, 6, 2
, 1, 6, 3
, 1, 9, 0
, 1, 9, 0
, 1, 9, 0
, 1, 9, 0
, 1, 9, 0
, 1, 9, 0
, 1, 9, 0
, 1, 9, 0
, 1, 9, 1
, 1, 9, 6
, 1, 5, 0
, 1, 5, 0
, 1, 5, 0
, 1, 5, 0
, 1, 5, 1
, 1, 5, 2
, 1, 1, 0
, 1, 1, 0
, 2, 2, 0
, 2, 2, 0
, 2, 2, 0
, 2, 2, 0
, 1, 3, 0
, 1, 3, 0
, 1, 3, 0
, 1, 3, 0
willllll, 1, 1, 0
willllll, 1, 1, 0
bkofbho, 0, 4, 0
bkofbho, 0, 4, 0
bkofbho, 0, 4, 0
bkofbho, 0, 4, 1
will, 0, 1, 1
